Model,CPU_Time_ms,GPU_Time_ms,Speedup,CPU_Distance_U,GPU_Distance_U,Rel_Diff,Distance_Match
arm,1513.17,92.0377,16.4407,0.00348171,0.00348171,0,PASS
bumpy,358.429,18.0296,19.8800,0.0816982,0.0816982,0,PASS
camel_b,407.071,25.508,15.9585,1.13344,1.13327,.0001499858,PASS
elephant,1292.46,79.3361,16.2909,0.597479,0.597037,.0007396536,PASS
face,9931.42,658.123,15.0905,0.0514086,0.0514086,0,PASS
hand-tri,319.376,21.7862,14.6595,3.12989,3.12041,.0030288604,FAIL
inspired_mesh,5681.77,267.435,21.2454,0.0199222,0.0199205,0,PASS
lilium,555.063,30.6072,18.1350,0.00428222,0.00427931,0,PASS
snail,224.581,11.8387,18.9700,0.0121504,0.0121217,.0023278412,FAIL
truck,634.255,53.8873,11.7700,0.0851307,0.0851307,0,PASS
armadillo,9346.21,584.34,15.9944,0.418862,0.417467,.0033304310,FAIL
bimba,20161.8,1299.05,15.5204,0.000530986,0.000526484,0,PASS
happy,8332.59,664.218,12.5449,0.000691173,0.000685561,0,PASS
homer,1164.27,77.4528,15.0319,0.00483956,0.00461967,.0454117306,FAIL
horse,7517.72,456.578,16.4653,0.000784346,0.000784346,0,PASS
cow,376.775,25.6325,14.6991,0.16358,0.163618,.0002287351,PASS
beast,,,,,,,GPU_RUN_FAIL
bunny,12003.8,721.605,16.6348,0.00368785,0.00369256,0,PASS
