Model,CPU_Time_ms,GPU_Time_ms,Speedup,CPU_Distance_U,GPU_Distance_U,Rel_Diff,Distance_Match
arm,1513.17,88.2783,17.1409,0.00348171,0.00348171,0,PASS
bumpy,358.429,17.4378,20.5547,0.0816982,0.0816982,0,PASS
camel_b,407.071,23.0254,17.6792,1.13344,1.13327,.0001499858,PASS
elephant,1292.46,76.2202,16.9569,0.597479,0.597037,.0007396536,PASS
face,9931.42,641.897,15.4719,0.0514086,0.0514086,0,PASS
hand-tri,319.376,19.7866,16.1410,3.12989,3.12041,.0030288604,FAIL
inspired_mesh,5681.77,256.295,22.1688,0.0199222,0.0199205,0,PASS
lilium,555.063,30.1542,18.4074,0.00428222,0.00427931,0,PASS
snail,224.581,11.1299,20.1781,0.0121504,0.0121217,.0023278412,FAIL
truck,634.255,43.4955,14.5820,0.0851307,0.0851307,0,PASS
armadillo,9346.21,538.565,17.3539,0.418862,0.417467,.0033304310,FAIL
bimba,20161.8,1171.79,17.2059,0.000530986,0.000526484,0,PASS
happy,8332.59,609.726,13.6661,0.000691173,0.000688367,0,PASS
homer,1164.27,69.7571,16.6903,0.00483956,0.00461967,.0454117306,FAIL
horse,7517.72,424.27,17.7191,0.000784346,0.000784346,0,PASS
cow,376.775,22.8592,16.4824,0.16358,0.163618,.0002287351,PASS
beast,,,,,,,GPU_RUN_FAIL
bunny,12003.8,676.697,17.7388,0.00368785,0.00369256,0,PASS
