Model,CPU_Time_ms,GPU_Time_ms,Speedup,CPU_Distance_U,GPU_Distance_U,Rel_Diff,Distance_Match
arm,1513.17,105.462,14.3480,0.00348171,0.00348171,0,PASS
bumpy,358.429,20.1,17.8322,0.0816982,0.0816982,0,PASS
camel_b,407.071,28.488,14.2892,1.13344,1.13327,.0001499858,PASS
elephant,1292.46,90.9246,14.2146,0.597479,0.597037,.0007396536,PASS
face,9931.42,741.995,13.3847,0.0514086,0.0514086,0,PASS
hand-tri,319.376,24.4584,13.0579,3.12989,3.12041,.0030288604,FAIL
inspired_mesh,5681.77,303.495,18.7211,0.0199222,0.0199205,0,PASS
lilium,555.063,35.3299,15.7108,0.00428222,0.00427931,0,PASS
snail,224.581,13.2496,16.9500,0.0121504,0.0121217,.0023278412,FAIL
truck,634.255,61.255,10.3543,0.0851307,0.0851307,0,PASS
armadillo,9346.21,666.795,14.0166,0.418862,0.417467,.0033304310,FAIL
bimba,20161.8,1456.78,13.8399,0.000530986,0.000526484,0,PASS
happy,8332.59,768.341,10.8449,0.000691173,0.000685561,0,PASS
homer,1164.27,86.5039,13.4591,0.00483956,0.00461967,.0454117306,FAIL
horse,7517.72,521.016,14.4289,0.000784346,0.000784346,0,PASS
cow,376.775,28.5633,13.1908,0.16358,0.163618,.0002287351,PASS
beast,,,,,,,GPU_RUN_FAIL
bunny,12003.8,823.828,14.5707,0.00368785,0.00369256,0,PASS
